nome,espn_id,posicao,idade,altura,nacionalidade
Lucas Silva,108103,MEIO-CAMPO,31,1.8,Brasil
Ramiro,157285,MEIO-CAMPO,31,1.68,Brasil
Walace,204113,MEIO-CAMPO,29,1.88,Brasil
Álvaro Barreal,279454,MEIO-CAMPO,24,1.73,Argentina
Vitinho,380102,MEIO-CAMPO,20,,Brasil
Lucas Romero,77577,MEIO-CAMPO,30,1.73,Argentina
Fabrizio Peralta,297321,MEIO-CAMPO,22,1.75,Paraguai
Alessandro,383088,MEIO-CAMPO,17,1.85,Brasil
Henrique Silva,383095,MEIO-CAMPO,19,1.78,Brasil
Jhosefer,337135,MEIO-CAMPO,20,,Brasil
Xavier,352011,MEIO-CAMPO,20,,Brasil
Gui Meira,383093,MEIO-CAMPO,19,1.78,Brasil
Rhuan Gabriel,371530,MEIO-CAMPO,18,1.75,Brasil
Nicolas Pontes,383098,MEIO-CAMPO,18,1.75,Brasil
Cauan Baptistella,383091,MEIO-CAMPO,17,1.78,Itália
Murilo Rhikman,383097,MEIO-CAMPO,18,1.83,Brasil
Arthur Viana,383089,MEIO-CAMPO,20,1.8,Brasil
Japa,358337,MEIO-CAMPO,20,,Brasil
Matheus Henrique,268221,MEIO-CAMPO,26,1.75,Brasil
Rafael Silva,237998,ATACANTE,32,1.78,Brasil
Juan Dinenno,193755,ATACANTE,30,1.85,Argentina
Kaio Jorge,280978,ATACANTE,22,1.75,Brasil
Lautaro Díaz,292041,ATACANTE,26,1.8,Argentina
Gabriel Veron,297072,ATACANTE,22,1.75,Brasil
Tevis Gabriel,383099,ATACANTE,18,1.78,Brasil
Ruan Silva Fonseca,374514,ATACANTE,18,,Brasil
Kenji,383096,ATACANTE,18,1.78,Brasil
Gustavo Zago,383094,ATACANTE,18,1.75,Brasil
Phillipe Gabriel,371432,GOLEIRO,18,1.96,Brasil
Léo Jardim,205464,GOLEIRO,29,1.88,Brasil
Keiller,234080,GOLEIRO,28,1.93,Brasil
Pablo,379269,GOLEIRO,21,1.88,Brasil
Luiz Gustavo Marinho Ribeiro Dos Santos,379502,DEFENSOR,18,,Brasil
José Luis Rodríguez,43711,DEFENSOR,27,1.83,Uruguai
Léo,200660,DEFENSOR,28,1.83,Brasil
Maicon,124025,DEFENSOR,36,1.91,Brasil
Lucas Piton,287862,DEFENSOR,24,1.75,Itália
Victor Luis,198108,DEFENSOR,31,1.8,Brasil
Robert Rojas,238451,DEFENSOR,28,1.78,Paraguai
Lyncon Correa Gonçalves,357310,DEFENSOR,19,,Brasil
João Victor,287946,DEFENSOR,26,1.88,Brasil
Paulo Henrique,234842,DEFENSOR,28,1.75,Brasil
Souza,148973,MEIO-CAMPO,35,1.88,Brasil
Jair,196873,MEIO-CAMPO,30,1.78,Brasil
Dimitri Payet,84877,MEIO-CAMPO,37,1.75,França
